case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
32,Relevance adjudicator,starting_role,yes,unclear,medium,"Humans set starting templates and topic areas, but idea filtering (Semantic Scholar novelty check) and paper acceptance (automated reviewer) are delegated to the system in both v1 and v2.",C032_P1; C032_S1,,"Full text confirms humans scope the research direction, but delegation of filtering is explicit; role pressured but observable."
32,Mechanism disciplinarian,starting_role,partial,unclear,medium,"Papers note LLM bias in over-estimating novelty/interestingness/feasibility and discuss limitations, but no explicit human-in-loop mechanism check is described in the pipeline.",C032_P1; C032_S1,,Upgraded from low: boundary-case evidence shows the role is attenuated rather than absent.
32,Construct and perspective boundary setter,starting_role,no,not_applicable,high,"Both papers concern ML experiment automation (diffusion, LMs, grokking); no social-science construct or perspective disagreement is at stake.",C032_P1; C032_S1,,Upgraded to high: source content provides enough detail to confidently mark not applicable for this boundary case.
32,Corpus pluralist,starting_role,no,not_applicable,high,"Evidence base is ML benchmark datasets (e.g., Shakespeare transformer, Hugging Face Hub); no pluralist-corpus stakes visible in either paper.",C032_P1; C032_S1,,Upgraded to high: full-text confirms not applicable.
32,Protocol and provenance architect,starting_role,yes,robust,high,"Humans design templates, experiment stages (preliminary/hyperparam/agenda/ablation), stopping criteria, agentic tree-search protocol, VLM-feedback loop, and prompt scaffolding across both versions.",C032_P1; C032_S1,,"Upgraded from medium: protocol/architecture design is the single most-documented human contribution, supporting robust status."
32,Counterfactual and transportability judge,starting_role,no,not_applicable,high,Papers confine claims to ML experimentation with internal metrics; no cross-population or transportability adjudication is invoked.,C032_P1; C032_S1,,Upgraded to high based on full-text scope.
32,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Fully code-and-benchmark automation with no fieldwork, interview, or interpretive setting in either paper.",C032_P1; C032_S1,,Upgraded to high: clearly not applicable.
32,Accountability and labor allocator,starting_role,yes,unclear,high,"v2 explicitly discusses submitting AI-generated manuscripts to ICLR workshop peer review, ethics/safety considerations, authorship framing, and open-sourcing - authors foreground who is answerable.",C032_P1; C032_S1,,"Upgraded from medium: v2 abstract and section 4 directly concern accountability (peer-review disclosure, ethical/safety discussion)."
32,Construct boundary setter,split_candidate,no,not_applicable,high,No codebook/label construct work at issue in ML-experiment automation.,C032_P1; C032_S1,,Upgraded to high.
32,Perspective sampler,split_candidate,no,not_applicable,high,No subgroup disagreement or representational pluralism concern in these ML automation papers.,C032_P1; C032_S1,,Upgraded to high.
32,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,No cross-context transport pressure in the automated ML pipeline described.,C032_P1; C032_S1,,Upgraded to high.
32,Calibration architect,split_candidate,no,not_applicable,medium,"Paper discusses auto-reviewer calibration against ICLR 2022 OpenReview ground truth (class-imbalance thresholding, @6 cutoff), but this is an internal AI-reviewer ablation rather than social-science simulator calibration.",C032_P1,,Upgraded from low: calibration language is present but applied to a different register; keeping not_applicable per codebook scope.
32,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker role in an automated ML pipeline.,C032_P1; C032_S1,,Upgraded to high.
32,Context witness,split_candidate,no,not_applicable,high,"No tacit/archival interpretive work required; all artifacts are code, logs, and numerical outputs.",C032_P1; C032_S1,,Upgraded to high.
32,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,Idea filtering via Semantic Scholar API and automated reviewer triage (accept/reject threshold) replace human first-pass screening; near-human accuracy claimed on ICLR 2022 data.,C032_P1; C032_S1,,"Upgraded from low/not_applicable: full text shows this is a shrinking cluster, not absent - changed observability to yes."
32,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,medium,"Aider executes plan-directed coding, experiment iteration, and debugging with ground-truth validation metrics; tree-search nodes automate routine coding against benchmark scores.",C032_P1; C032_S1,,Upgraded from low/not_applicable: routine coding/iteration is explicitly delegated; changed observability to yes.
32,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,"Both papers describe AI drafting manuscripts section-by-section (intro, methods, results, related work), LaTeX compilation, citation insertion via Semantic Scholar, and VLM-driven figure/caption refinement.",C032_P1; C032_S1,,Upgraded from low/not_applicable: manuscript drafting is the flagship shrinking task; changed observability to yes.
