case_id,primary_ai_capability,primary_research_stage,institutional_setting,task_ground_truth_level,post_hoc_auditability,role_status_boundary_setting,role_status_procedure_setting,role_status_accountability,role_status_routine_throughput,dominant_role_pattern,shrinkage_present,split_pressure_present,notes
1,Generative,Coding / measurement,Annotation lab / RA workflow,high,high,conditional,unclear,not_applicable,shrinking,routine-throughput shrinkage,yes,no,Derived from role coding master and workbook leverage fields.
2,Generative,Construct definition / coding / measurement,Methods lab / PI-led measurement project,contested,high,robust,conditional,not_applicable,conditional,boundary-setting durability,partial,no,Derived from role coding master and workbook leverage fields.
3,Generative,Coding / measurement / interpretation,Annotation team,contested,high,robust,split_pressure,not_applicable,unclear,role split pressure,partial,yes,Derived from role coding master and workbook leverage fields.
4,Generative,Coding / annotation validation,Model-evaluation lab,contested,medium,robust,split_pressure,not_applicable,unclear,role split pressure,partial,yes,Derived from role coding master and workbook leverage fields.
5,Generative,Qualitative coding / interpretation,Policy evaluation team,contested,high,conditional,transformed,not_applicable,conditional,role transformation under AI assistance,partial,no,Derived from role coding master and workbook leverage fields.
6,Generative,Qualitative coding / theme generation,Health-research team,contested,high,conditional,unclear,not_applicable,conditional,stage-conditional durability,partial,no,Derived from role coding master and workbook leverage fields.
7,Agentic,Literature review / screening,Systematic review team,high,high,not_applicable,conditional,not_applicable,shrinking,routine-throughput shrinkage,yes,no,Derived from role coding master and workbook leverage fields.
8,Predictive,Literature review / triage,Review team,high,high,not_applicable,conditional,not_applicable,shrinking,stage-conditional durability,partial,no,Derived from role coding master and workbook leverage fields.
9,Agentic,Synthesis / literature review,Review team or policy lab,medium,high,not_applicable,transformed,transformed,unclear,role transformation under AI assistance,partial,no,Derived from role coding master and workbook leverage fields.
10,Generative,Literature review / drafting,Research lab / manuscript workflow,medium,high,not_applicable,merge_pressure,merge_pressure,conditional,comparative mixed pattern,partial,no,Derived from role coding master and workbook leverage fields.
11,Generative,Agenda setting / proposal framing,Grant competition,none,high,not_applicable,unclear,conditional,not_applicable,stage-conditional durability,no,no,Derived from role coding master and workbook leverage fields.
12,Generative,Agenda setting / funding evaluation,Funding pipeline,none,medium,not_applicable,unclear,conditional,not_applicable,stage-conditional durability,no,no,Derived from role coding master and workbook leverage fields.
13,Generative,Idea generation / agenda setting,Doctoral training / lab ideation,none,medium,not_applicable,conditional,unclear,not_applicable,stage-conditional durability,no,no,Derived from role coding master and workbook leverage fields.
14,Agentic,Hypothesis generation / discovery,Methods lab / benchmark environment,none,high,not_applicable,split_pressure,split_pressure,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
15,Agentic,Idea generation / early design,Benchmark lab,none,high,not_applicable,unclear,unclear,not_applicable,comparative mixed pattern,no,no,Derived from role coding master and workbook leverage fields.
16,Generative,Interviewing / data generation,Field interview study,contested,high,conditional,conditional,robust,not_applicable,boundary-setting durability,no,no,Derived from role coding master and workbook leverage fields.
17,Generative,Data collection / interpretation,Survey platform / classroom or community feedback setting,contested,high,unclear,conditional,not_applicable,not_applicable,stage-conditional durability,no,no,Derived from role coding master and workbook leverage fields.
18,Generative,Qualitative analysis / delegation choice,Qualitative research lab,contested,low,split_pressure,split_pressure,split_pressure,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
19,Agentic,Memoing / qualitative interpretation,Field site / archival project,contested,high,split_pressure,split_pressure,not_applicable,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
20,Generative,Qualitative coding / reflexive analysis,Qualitative methods project,contested,high,conditional,transformed,not_applicable,not_applicable,role transformation under AI assistance,no,no,Derived from role coding master and workbook leverage fields.
21,Predictive,Simulation / inference support,Survey lab,high,high,not_applicable,split_pressure,split_pressure,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
22,Predictive,Simulation / hypothesis screening,Methods lab,contested,medium,not_applicable,transformed,transformed,not_applicable,role transformation under AI assistance,no,no,Derived from role coding master and workbook leverage fields.
23,Predictive,Research design / preregistration,Design team / lab,low,high,not_applicable,conditional,conditional,not_applicable,boundary-setting durability,no,no,Derived from role coding master and workbook leverage fields.
24,Agentic,Empirical analysis / design diagnostics,Methods lab / benchmark environment,contested,medium,not_applicable,split_pressure,split_pressure,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
25,Agentic,End-to-end policy evaluation,Public autonomous-research project,low,high,not_applicable,unclear,unclear,not_applicable,comparative mixed pattern,no,no,Derived from role coding master and workbook leverage fields.
26,Agentic,Idea generation through revision,Public autonomous-research project,low,high,not_applicable,transformed,transformed,not_applicable,role transformation under AI assistance,no,no,Derived from role coding master and workbook leverage fields.
27,Agentic,Reproducibility / paper assessment,Benchmark / reproducibility audit,high,high,not_applicable,robust,robust,not_applicable,boundary-setting durability,no,no,Derived from role coding master and workbook leverage fields.
28,Agentic,Post-publication repair / reproducibility,Methods lab / reproducibility testbed,high,high,not_applicable,conditional,unclear,not_applicable,routine-throughput shrinkage,yes,no,Derived from role coding master and workbook leverage fields.
29,Generative,Drafting / authorship / governance,Research lab / manuscript workflow,low,high,not_applicable,transformed,transformed,shrinking,role transformation under AI assistance,partial,no,Derived from role coding master and workbook leverage fields.
30,Generative,Disclosure / governance,Manuscript workflow / journal policy,low,medium,not_applicable,merge_pressure,merge_pressure,conditional,comparative mixed pattern,partial,no,Derived from role coding master and workbook leverage fields.
31,Generative,Authorship / publication system,Publishing ecosystem,low,medium,not_applicable,unclear,unclear,unclear,comparative mixed pattern,partial,no,Derived from role coding master and workbook leverage fields.
32,Agentic,End-to-end automated research,Benchmark / open project,medium,high,not_applicable,unclear,unclear,not_applicable,comparative mixed pattern,no,no,Derived from role coding master and workbook leverage fields.
33,Agentic,Literature reconnaissance / evidence gathering,Research reconnaissance workflow,medium,high,not_applicable,conditional,not_applicable,shrinking,stage-conditional durability,partial,no,Derived from role coding master and workbook leverage fields.
34,Predictive,Simulation / policy experimentation,Simulation platform,contested,high,not_applicable,split_pressure,split_pressure,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
35,Generative,Training / workflow adoption,Doctoral training,medium,high,not_applicable,transformed,transformed,not_applicable,role transformation under AI assistance,no,no,Derived from role coding master and workbook leverage fields.
36,Predictive,Research design / pedagogy,Doctoral seminar / methods workshop,medium,high,not_applicable,split_pressure,split_pressure,not_applicable,role split pressure,no,yes,Derived from role coding master and workbook leverage fields.
