claim_id,section,claim_text,support_type,case_ids,supporting_extract_ids,limiting_extract_ids,source_ids,confidence,claim_ceiling,notes
CLM_001,Introduction,The repository is best analyzed as a role-system dataset rather than as a human-versus-AI scoreboard because the visible changes cluster by role type and research setting rather than by one capability label.,comparative synthesis,2; 7; 21; 27,E002_M01; E007_M01; E021_M01; E027_M01,E025_002; E032_002,C002_P1; C007_P1; C021_P1; C027_P1; C025_REGISTRY; C032_REGISTRY,high,framework,Aggregate framing claim supported by anchor cases plus explicit cautions from autonomy-boundary cases.
CLM_002,Findings - Durable roles,"Procedure-setting and provenance-setting roles are the most durable pattern in the database, with protocol and provenance architect appearing as robust in sixteen cases and conditional in ten more.",database aggregate + exemplars,2; 7; 27,E002_M02; E007_M02; E027_M01,E025_002,C002_P1; C007_P1; C027_P1; role_coding_master.csv,high,framework,Aggregate count derived from role_coding_master; exemplar extracts show what the durable role looks like in practice.
CLM_003,Findings - Durable roles,"Calibration work is more durable than broad transportability judgment in predictive settings, which supports splitting calibration architect away from the older counterfactual-and-transportability bundle.",database aggregate + exemplars,21; 24; 34,E021_M01; E021_M02; E024_M02; E034_M02,E034_002,C021_P1; C024_P1; C034_P1; role_coding_master.csv,high,framework,Calibration architect is robust in twelve cases and conditional in three; split pressure also appears in simulation and multiverse settings.
CLM_004,Findings - Shrinkage,"Routine throughput tasks shrink most cleanly where there is public ground truth or a clean audit trail, especially in first-pass screening, objective coding, post-publication repair, and prose polishing.",comparative synthesis,1; 7; 28; 29,E001_M01; E007_M01; E028_M01; E029_M01,E001_002; E028_M02; E029_M02,C001_P1; C007_P1; C028_P1; C029_P1,high,framework,This claim is reinforced by shrinking statuses in the three shrinking task clusters and by the explicit limitations attached to each case.
CLM_005,Findings - Split pressure,"Split pressure appears when disagreement is substantively meaningful rather than merely noisy, especially in subjective annotation, reflexive memoing, multiverse analysis, and transportability-heavy simulation.",comparative synthesis,3; 19; 24; 34,E003_M01; E003_M02; E019_M01; E024_M01; E024_M02; E034_M02,E003_002; E019_002; E034_002,C003_P1; C019_P1; C024_P1; C034_P1,high,framework,"This is the clearest source-backed rationale for splitting construct boundary setting, perspective sampling, calibration, and context-sensitive roles."
CLM_006,Findings - Accountability,"Accountability and labor allocation are more often transformed than removed, especially once AI enters drafting, disclosure, and governance workflows.",database aggregate + exemplars,21; 29; 30,E021_M02; E029_M01; E029_M02; E030_M01; E030_M02,E029_002; E030_002,C021_P1; C029_P1; C030_P1; role_coding_master.csv,high,framework,"Accountability and labor allocator is transformed in fourteen cases and conditional in eleven, which is stronger than a disappearance story."
CLM_007,Findings - Reproducibility,"The reproducibility cases separate rerunning and repairing from adjudicating whether a paper's claims are actually supported, so automation pressure falls unevenly inside the same workflow.",comparative synthesis,27; 28,E027_M01; E027_M02; E028_M01,E028_M02,C027_P1; C028_P1,high,framework,These two cases are the cleanest paired test of durable procedure roles versus shrinking repair labor.
CLM_008,Findings - Boundary cases,"Autonomy-heavy systems create pressure on the typology, but the current public evidence still treats them as boundary cases because their evaluation standards remain internal, simulated, or outside social science proper.",boundary-case caution,25; 32,E025_M01; E025_M02; E032_M01; E032_M02,E025_002; E032_002,C025_S1; C032_P1; C025_REGISTRY; C032_REGISTRY,high,framework,This wording is intentionally conservative and should not be upgraded without stronger external validation evidence.
CLM_009,Hypotheses,H1 is broadly supported: boundary-setting and procedure-setting roles survive more often than routine production clusters.,database aggregate + exemplars,2; 7; 21; 27; 1; 28; 29,E002_M01; E002_M02; E007_M02; E021_M02; E027_M01; E001_M01; E028_M01; E029_M02,E001_002; E029_002,C002_P1; C007_P1; C021_P1; C027_P1; C001_P1; C028_P1; C029_P1; role_coding_master.csv,high,framework,Aggregate role counts are interpreted through anchor and shrinkage exemplars rather than as stand-alone statistics.
CLM_010,Hypotheses,"H2 is supported conditionally: the clearest shrinkage occurs where tasks have public ground truth or clean post hoc auditability, but contested domains continue to resist clean substitution.",database aggregate + exemplars,1; 7; 28; 2; 3; 19,E001_M01; E007_M01; E028_M01,E002_002; E003_002; E019_002,C001_P1; C007_P1; C028_P1; C002_REGISTRY; C003_REGISTRY; C019_REGISTRY; hypotheses_prep.csv,high,framework,"The hypotheses_prep table shows shrinkage clustering in high-ground-truth and highly auditable stages, but the evidence is explicitly conditional rather than universal."
CLM_011,Hypotheses,H3 is supported: role status varies more by research stage and institutional setting than by AI capability label alone.,database aggregate + exemplars,7; 21; 28; 29; 25; 32,E007_M02; E021_M02; E028_M01; E029_M02; E025_M01; E032_M02,E025_002; E032_002,C007_P1; C021_P1; C028_P1; C029_P1; C025_S1; C032_P1; hypotheses_prep.csv,medium,framework,"The manuscript should frame this as a comparative pattern in the present repository, not as a universal causal law."
CLM_012,Limitations,"The database supports a strong comparative typology audit, but it does not by itself prove that any role has disappeared across real research settings.",boundary-condition synthesis,25; 32; 34,E025_003; E032_003; E034_003,E025_002; E032_002; E034_002,C025_REGISTRY; C032_REGISTRY; C034_REGISTRY,high,framework,Keeps the draft within the agreed boundary-case caution.
