reference_id,citation_key,source_id,case_id,author_label,year,title,source_type,planned_sections,priority,status,notes,url
REF_001,tornberg_2025,C001_P1,1,Tornberg,2025,Large Language Models Outperform Expert Coders and Supervised Classifiers at Annotating Political Social Media Messages,journal article,findings_shrinkage; limitations,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://journals.sagepub.com/doi/10.1177/08944393241286471
REF_002,keith_2026,C002_P1,2,Keith,2026,Codebook LLMs: Evaluating LLMs as Measurement Tools for Political Science Concepts,journal article,introduction; findings_durable_roles; methods,core,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://www.cambridge.org/core/journals/political-analysis/article/codebook-llms-evaluating-llms-as-measurement-tools-for-political-science-concepts/7B323A0E47F782F2698A0AE849EA00DE
REF_003,gligorić_nd,C003_P1,3,Gligorić,n.d.,Multi-Perspective LLM Annotations for Valid Analyses in Subjective Tasks,preprint,findings_split_pressure,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2603.21404
REF_004,baccolini_2026,C007_P1,7,Baccolini,2026,"Compact large language models for title and abstract screening in systematic reviews: An assessment of feasibility, accuracy, and workload reduction",journal article,introduction; findings_shrinkage; methods,core,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://www.cambridge.org/core/journals/research-synthesis-methods/article/compact-large-language-models-for-title-and-abstract-screening-in-systematic-reviews-an-assessment-of-feasibility-accuracy-and-workload-reduction/CB00FD70434780029EF6C027055331BA
REF_005,hernandez_2025,C019_P1,19,Hernandez,2025,Reading children’s moral dramas in anthropological fieldnotes: A human–AI hybrid approach,forum article,findings_split_pressure,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://www.cambridge.org/core/journals/cambridge-forum-on-ai-culture-and-society/article/reading-childrens-moral-dramas-in-anthropological-fieldnotes-a-humanai-hybrid-approach/66341B0CAC7E8192FD1F3CA3E8BE106F
REF_006,larson_2024,C021_P1,21,Larson,2024,Synthetic Replacements for Human Survey Data? The Perils of Large Language Models,journal article,introduction; findings_split_pressure; findings_durable_roles,core,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://www.cambridge.org/core/journals/political-analysis/article/synthetic-replacements-for-human-survey-data-the-perils-of-large-language-models/B92267DC26195C7F36E63EA04A47D2FE
REF_007,xiao_nd,C024_P1,24,Xiao,n.d.,Nonstandard Errors in AI Agents,preprint,findings_split_pressure,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2603.16744
REF_008,project_ape_nd,C025_P1,25,Project APE,n.d.,Project APE: Can policy evaluation be automated? Or is hallucinated slop unavoidable? Let's find out.,project homepage,boundary_cases; limitations,boundary,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://ape.socialcatalystlab.org/
REF_009,kang_2025,C027_P1,27,Kang,2025,REPRO-Bench: Can Agentic AI Systems Assess the Reproducibility of Social Science Research?,conference paper,introduction; findings_durable_roles; findings_reproducibility,core,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://aclanthology.org/2025.findings-acl.1210/
REF_010,bleier_nd,C028_P1,28,Bleier,n.d.,Automating Computational Reproducibility in Social Science: Comparing Prompt-Based and Agent-Based Approaches,preprint,findings_shrinkage; findings_reproducibility,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2602.08561
REF_011,yin_nd,C029_P1,29,Yin,n.d.,Scientific production in the era of Large Language Models,preprint,findings_shrinkage; findings_accountability,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2601.13187
REF_012,cox_nd,C030_P1,30,Cox,n.d.,AI Disclosure with DAISY,preprint,findings_accountability; limitations,support,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2604.02760
REF_013,ha_nd,C032_P1,32,Ha,n.d.,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,preprint,boundary_cases; limitations,boundary,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2408.06292
REF_014,li_nd,C034_P1,34,Li,n.d.,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,preprint,findings_split_pressure; limitations,boundary,approved_for_inclusion,Seeded from the completed role-system database for this manuscript pass.,https://arxiv.org/abs/2502.08691
REF_015,abbott_1988,BG001,,Abbott,1988,The System of Professions: An Essay on the Division of Expert Labor,book,introduction; findings_durable_roles; conclusion,core_background,approved_for_inclusion,Role-system and jurisdiction framing reference.,https://press.uchicago.edu/ucp/books/book/chicago/S/bo5965590.html
REF_016,grimmer_2021,BG002,,Grimmer,2021,Machine Learning for Social Science: An Agnostic Approach,review article,introduction; data_and_design; conclusion,core_background,approved_for_inclusion,Research-design framing for machine learning in social science.,https://www.annualreviews.org/content/journals/10.1146/annurev-polisci-053119-015921
REF_017,amershi_2019,BG003,,Amershi,2019,Guidelines for Human-AI Interaction,conference paper,introduction; findings_accountability; conclusion,background,approved_for_inclusion,Human-AI control and interaction design reference.,https://www.microsoft.com/en-us/research/publication/guidelines-for-human-ai-interaction/
REF_018,shneiderman_2022,BG004,,Shneiderman,2022,Human-Centered AI,book,introduction; findings_accountability; conclusion,background,approved_for_inclusion,Human-centered AI governance and oversight framing reference.,https://academic.oup.com/book/41126
